source,site_name,site_id,geometry
ACIS,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT,20705,"c(-150.0278, 61.169)"
ACIS,EAGLE RIVER NATURE CENTER,20710,"c(-149.2708, 61.2344)"
ACIS,ANCHORAGE MERRILL FIELD,20717,"c(-149.855, 61.21694)"
ACIS,EAGLE RIVER 1S,20729,"c(-149.55888, 61.30778)"
ACIS,BEN'S FARM,20752,"c(-149.15421, 61.5632)"
ACIS,MATANUSKA EXPERIMENTAL FARM,20753,"c(-149.2541, 61.5663)"
ACIS,PALMER JOB CORPS,20760,"c(-149.0992, 61.5888)"
ACIS,PALMER AIRPORT,20761,"c(-149.0916, 61.5961)"
ACIS,LITTLE SU AT HATCHER PASS BRIDGE,20778,"c(-149.2316, 61.7102)"
ACIS,GENNALLEN KCAM,20820,"c(-145.5331, 62.1086)"
ACIS,MONTANA CREEK,20821,"c(-150.05888, 62.10444)"
ACIS,PUNTILLA,20822,"c(-152.73489, 62.0911)"
ACIS,MOUNTAIN VILLAGE AP,20824,"c(-163.68195, 62.09528)"
ACIS,GULKANA AIRPORT,20825,"c(-145.4588, 62.1591)"
ACIS,TALKEETNA AIRPORT,20835,"c(-150.095, 62.32)"
ACIS,CHULITNA RIVER,20857,"c(-149.9061, 62.8255)"
ACIS,NORTHWAY AIRPORT,20860,"c(-141.98779, 62.9617)"
ACIS,MC GRATH ON KUSKOKWIM RIV,20864,"c(-155.59029, 62.95833)"
ACIS,MCGRATH AP,20865,"c(-155.61031, 62.9574)"
ACIS,TOK SCHOOL,20875,"c(-142.95778, 63.33306)"
ACIS,TOK,20879,"c(-143.0372, 63.3337)"
ACIS,WONDER LAKE,20887,"c(-150.86972, 63.49028)"
ACIS,HEALY,20899,"c(-148.99429, 63.8674)"
ACIS,BIG DELTA AIRPORT,20905,"c(-145.72141, 63.9944)"
ACIS,CHICKEN,20909,"c(-141.9211, 64.0917)"
ACIS,KALTAG AP,20921,"c(-158.74167, 64.32667)"
ACIS,NOME AIRPORT,20927,"c(-165.44, 64.5111)"
ACIS,NENANA MUN AP,20930,"c(-149.09612, 64.54611)"
ACIS,GOLOVIN AIRPORT,20932,"c(-163.00716, 64.55044)"
ACIS,WHITE MOUNTAIN,20942,"c(-163.39999, 64.68333)"
ACIS,EAGLE,20943,"c(-141.2036, 64.7856)"
ACIS,NORTH POLE,20944,"c(-147.3253, 64.7581)"
ACIS,FAIRBANKS INTL AP,20947,"c(-147.8761, 64.8039)"
ACIS,FAIRBANKS 9 ENE,20950,"c(-147.24944, 64.88667)"
ACIS,UNIVERSITY EXPERIMENTAL STATION,20955,"c(-147.86099, 64.8569)"
ACIS,COLLEGE OBSERVATORY,20958,"c(-147.8484, 64.8603)"
ACIS,FAIRBANKS 39 ENE,20959,"c(-146.40889, 64.89944)"
ACIS,GILMORE CREEK,20963,"c(-147.5211, 64.9766)"
ACIS,TANANA AIRPORT,20975,"c(-152.1067, 65.175)"
ACIS,CIRCLE HOT SPRINGS,20990,"c(-144.6422, 65.4939)"
ACIS,PROSPECT CREEK,21026,"c(-150.66888, 66.82361)"
ACIS,KOTZEBUE AIRPORT,21029,"c(-162.6333, 66.8667)"
ACIS,BETTLES AIRPORT,21030,"c(-151.51891, 66.9175)"
ACIS,WISEMAN,21043,"c(-150.10957, 67.40822)"
ACIS,BARTER ISLAND WSO AP,21093,"c(-143.57693, 70.13389)"
ACIS,DEADHORSE,21096,"c(-148.4772, 70.1917)"
ACIS,WAINWRIGHT,21116,"c(-160.01443, 70.63778)"
ACIS,BARROW AIRPORT,21127,"c(-156.78149, 71.2834)"
ACIS,MAIN BAY,21136,"c(-148.09309, 60.5181)"
ACIS,KUPARUK,21139,"c(-149.6114, 70.3289)"
ACIS,MCCARTHY 3 SW,21140,"c(-142.99609, 61.418)"
ACIS,PORT SAN JUAN,21143,"c(-148.0672, 60.0502)"
ACIS,DELTA JUNCTION 20 SE,21148,"c(-145.105, 63.9647)"
ACIS,HOUSTON,21160,"c(-149.80112, 61.63111)"
ACIS,LAZY MOUNTAIN,21161,"c(-149.0365, 61.6266)"
ACIS,PORT ALCAN,21166,"c(-141.006, 62.6211)"
ACIS,AMBLER,21170,"c(-157.85001, 67.08333)"
ACIS,KENAI KEYS-RIVER,21179,"c(-150.61667, 60.48333)"
ACIS,PALMER-MAT RVR,21181,"c(-149.07278, 61.60861)"
ACIS,KALGIN ISLAND,21187,"c(-151.91667, 60.45)"
ACIS,KOYUK,21192,"c(-161.14999, 64.93333)"
ACIS,EAGLE RIVER 5 SE,21200,"c(-149.4399, 61.2968)"
ACIS,HAINES 40NW,21201,"c(-136.3615, 59.4503)"
ACIS,FORT RICHARDSON WATER TREATMENT PLANT,21204,"c(-149.65041, 61.2272)"
ACIS,HOMER 17 E,21207,"c(-151.16667, 59.76667)"
ACIS,HIDDEN FALLS HATCHERY,21212,"c(-134.87691, 57.2177)"
ACIS,TWO RIVERS,21215,"c(-146.95416, 64.86556)"
ACIS,DELTA 6 N,28830,"c(-145.7511, 64.1172)"
ACIS,DRY CREEK,28831,"c(-144.6041, 63.67459)"
ACIS,KEYSTONE RIDGE,28833,"c(-148.2711, 64.9156)"
ACIS,COLVILLE VILLAGE,28874,"c(-150.40939, 70.4322)"
ACIS,FOX 2 SE,28888,"c(-147.6261, 64.9591)"
ACIS,GALENA,28889,"c(-156.8755, 64.7408)"
ACIS,WHITESTONE FARMS,28900,"c(-145.8894, 64.1539)"
ACIS,NORTH POLE 1N,28901,"c(-147.34, 64.76)"
ACIS,ESTER 5NE,29084,"c(-147.92419, 64.911)"
ACIS,FORT KNOX MINE,29085,"c(-147.34081, 65.0033)"
ACIS,ANCHORAGE FORECAST OFFICE,29119,"c(-149.9847, 61.1561)"
ACIS,ESTER,29437,"c(-148.0256, 64.8464)"
ACIS,MOOSE MOUNTAIN,29445,"c(-147.93723, 64.91944)"
ACIS,SAG RIVER DOT,29447,"c(-148.87306, 68.76083)"
ACIS,GUSTAVUS,29574,"c(-135.70889, 58.4111)"
ACIS,SKAGWAY,29638,"c(-135.3136, 59.4547)"
ACIS,SKAGWAY AIRPORT,29639,"c(-135.3239, 59.4556)"
ACIS,WRANGELL AP,29707,"c(-132.38741, 56.4732)"
ACIS,GALENA AIRPORT,29823,"c(-156.93443, 64.73667)"
ACIS,HAINES AIRPORT,29837,"c(-135.5094, 59.2433)"
ACIS,KING SALMON AIRPORT,29840,"c(-156.6563, 58.6829)"
ACIS,JUNEAU DOWNTOWN,29841,"c(-134.4111, 58.2988)"
ACIS,KODIAK AIRPORT,29842,"c(-152.4855, 57.7511)"
ACIS,PETERSBURG 1,29843,"c(-132.93719, 56.8055)"
ACIS,DUTCH HARBOR,29844,"c(-166.5433, 53.895)"
